title,certificate,runtime,genre,rating,director,gross_earn
The Butterfly Effect,15,113 min,"Drama, Sci-Fi, Thriller",7.6,Eric Bress,$57.94M
Love Actually,15,135 min,"Comedy, Drama, Romance",7.6,Richard Curtis,$59.70M
The Fifth Element,PG,126 min,"Action, Adventure, Sci-Fi",7.6,Luc Besson,$63.54M
Kung Fu Panda,U,92 min,"Animation, Action, Adventure",7.6,Mark Osborne,$215.43M
Dawn of the Planet of the Apes,12A,130 min,"Action, Adventure, Drama",7.6,Matt Reeves,$208.55M
Sicario,15,121 min,"Action, Crime, Drama",7.6,Denis Villeneuve,$46.89M
Moneyball,12A,133 min,"Biography, Drama, Sport",7.6,Bennett Miller,$75.61M
Saw,18,103 min,"Horror, Mystery, Thriller",7.6,James Wan,$56.00M
The Godfather Part III,15,162 min,"Crime, Drama",7.6,Francis Ford Coppola,$66.67M
Die Hard: With a Vengeance,15,128 min,"Action, Adventure, Thriller",7.6,John McTiernan,$100.01M
127 Hours,15,94 min,"Biography, Drama",7.6,Danny Boyle,$18.34M
The Illusionist,PG,110 min,"Drama, Fantasy, Mystery",7.6,Neil Burger,$39.87M
Inside Man,15,129 min,"Crime, Drama, Mystery",7.6,Spike Lee,$88.51M
The Others,12,101 min,"Horror, Mystery, Thriller",7.6,Alejandro Amenábar,$96.52M
True Grit,15,110 min,"Drama, Western",7.6,Ethan Coen,$171.24M
50/50,15,100 min,"Comedy, Drama, Romance",7.6,Jonathan Levine,$35.01M
The Blind Side,12A,129 min,"Biography, Drama, Sport",7.6,John Lee Hancock,$255.96M
Lord of War,15,122 min,"Crime, Drama",7.6,Andrew Niccol,$24.15M
Bridge of Spies,12A,142 min,"Drama, History, Thriller",7.6,Steven Spielberg,$72.31M
Seven Pounds,12A,123 min,Drama,7.6,Gabriele Muccino,$69.95M
The Royal Tenenbaums,15,110 min,"Comedy, Drama",7.6,Wes Anderson,$52.36M
Mulan,PG,88 min,"Animation, Adventure, Comedy",7.6,Tony Bancroft,$120.62M
Moulin Rouge!,12A,127 min,"Drama, Musical, Romance",7.6,Baz Luhrmann,$57.39M
Stardust,PG,127 min,"Adventure, Family, Fantasy",7.6,Matthew Vaughn,$38.63M
Gone Baby Gone,15,114 min,"Crime, Drama, Mystery",7.6,Ben Affleck,$20.30M
